"Count Taxonomy"	"Order"	"Suborder"	"Infraorder"	"Parvorder"	"Superfamily"	"Family"	"Subfamily"	"Species group"	"Species"	"Subspecies"	"Data quality (ok if ≥ 4 individuals, at least 2m and 2f in anthropoids)"	"Calculation of ECV species mean"	"Source of ECV"	"Source of body mass"	"ECV male mean"	"ECV female mean"	"ECV species mean"	"N male"	"N female"	"N species"	"Body mass male mean"	"Body mass female mean"	"Body mass species mean"	"N body mass male"	"N body mass female"	"N body mass species"
179	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca sinica group"	"Macaca sinica"		"male only"	"m/f"	"This study"	"Smith and Jungers 1997"	73.40	66.00	69.70	12	1	13	5680	3200	4440	23	55	78
180	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Papio papio"		"male only"	"m/f"	"Elton et al. 2001"	"Smith and Jungers 1997"	167.00	118.00	142.50	5	1	6		12100		0	3	
181	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Piliocolobus tephrosceles"		"male only"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	69.45	72.45	70.95	5	1	6	9560	7258	8409	5	1	6
182	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis chrysomelas"		"male only"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	78.33	65.89	72.11	6	1	7	6520	6917	6719	6	1	7
183	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus lhoesti group"	"Cercopithecus hamlyni"		"female only"	"m/f"	"Verheyen 1962"	"Smith and Jungers 1997"	73.00	58.80	65.90	1	4	5	5490	3360	4425	11	9	20
184	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis natunae"		"female only"	"m/f"	"This study"	"This study, same specimens as ECV measurements"		57.19		0	4			5065		0	3	
185	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Rhinopithecus roxellana"		"female only"	"m/f"	"This study"	"Smith and Jungers 1997"	122.81	112.70	117.76	1	5	6	17900	11600	14750	7	4	11
186	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Mandrillus leucophaeus"		"ok (but body mass missing)"	"m/f"	"Elton et al. 2001"	"Smith and Jungers 1997 (n unknown, from graph in Haltenorth and Diller 1980)"	160.00	136.00	148.00	8	5	13	17500	12500	15000			
187	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Piliocolobus tholloni and foai"		"ok (but body mass missing)"	"m/f"	"Verheyen 1962"		78.30	74.40	76.35	54	41	95						
188	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Atelidae"	"Alouattinae"	"Alouatta seniculus group"	"Alouatta sara"		"ok (but body mass missing)"	"m/f"	"This study"	"Prob. larger than A. seniculus"	61.42	56.75	59.08	6	2	8						
189	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Pitheciidae"	"Pitheciinae"		"Chiropotes satanas"		"ok (but body mass missing)"	"m/f"	"This study"	"Hershkovitz 1985 in Smith and Jungers 1997 (this body mass from Surinam specimens most probably refers to C. chiropotes)"	49.15	47.51	48.33	4	4	8	3100	2960	3030	5	4	9
190	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Cercocebus agilis"		"data deficient"	"m/f"	"This study"	"Smith and Jungers 1997"	131.98	100.89	116.43	2	1	3	9500	5660	7580	2	2	4
191	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Cercocebus chrysogaster"		"data deficient"		"This study"	"Kennard and Willner 1941"	121.62			1				6000				
192	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Cercocebus galeritus"		"data deficient"	"m/f"	"This study"	"Smith and Jungers 1997"	102.80	95.34	99.07	1	1	2	9610	5260	7435	6	7	13
193	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus mitis group"	"Cercopithecus doggetti"		"data deficient"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	68.53	62.19	65.36	3	1	4	7258	5443	6350	3	1	4
194	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca mulatta group"	"Macaca cyclopis"		"data deficient"	"m/f"	"This study"	"Smith and Jungers 1997"	91.00	73.00	82.00	1	1	2	6000	4940	5470	7	4	11
195	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca nemestrina group"	"Macaca ochreata"		"data deficient"		"This study"	"Smith and Jungers 1997 (f), this study, same specimens as ECV measurements (m)"	97.98			1	0		4200	2600	3400	1	1	2
196	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Pygathrix nemaeus"		"data deficient"	"m/f"	"This study"	"Smith and Jungers 1997"	93.33	89.50	91.41	3	1		11000	8440	9720	4	2	6
197	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Pygathrix nigripes"		"data deficient"	"m/f"	"This study"		82.43	83.06	82.75	1	3							
198	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"east-central group"	"Semnopithecus entellus"		"data deficient"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	117.31	104.55	110.93	1	1	2	18144	11340	14742	1	1	2
199	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"northern group"	"Semnopithecus ajax"		"data deficient"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	131.58	132.54	132.06	2	1	3	19959	12701	16330	2	1	3
200	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"northern group"	"Semnopithecus schistaceus"		"data deficient"	"m/f"	"This study"	"Smith and Jungers 1997"	130.12	128.38	129.25	1	3	4	19200	14800	17000	5	9	14
201	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Trachypithecus cristatus group"	"Trachypithecus auratus"		"data deficient"		"This study"	"This study, same specimens as ECV measurements"		63.00		0	1			9525		0	1	
202	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Trachypithecus cristatus group"	"Trachypithecus germaini"		"data deficient"		"This study"	"This study, same specimens as ECV measurements"	76.00			1	0		6804			1	0	
203	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Trachypithecus pileatus group"	"Trachypithecus pileatus"		"data deficient"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	115.87	91.41	103.64	1	1	2	12247	11340	11794	1	1	2
203.5	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Hylobatidae"			"Hylobates moloch"		"data deficient"		"This study"	"This study, same specimens as ECV measurements"	103.00			1		1	6577			1	0	
204	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Aotidae"		"Gray-necked species group"	"Aotus vociferans"		"data deficient"		"This study"	"Smith and Jungers 1997"	19.50			2	0		708	698	703	20	20	40
205	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Aotidae"		"Red-necked species group"	"Aotus nigriceps"		"data deficient"		"This study"	"Smith and Jungers 1997"	16.60			3	0		875	1040	958	1	2	3
206	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Atelidae"	"Alouattinae"	"Alouatta seniculus group"	"Alouatta macconnelli"		"data deficient"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	69.00	53.66	61.33	1	1	2		5500		0	1	
207	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Atelidae"	"Atelinae"	"Ateles paniscus group"	"Ateles chamek"		"data deficient"		"This study"	"Smith and Jungers 1997"		99.00		0	1		9410	9330	9370	4	8	12
208	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Atelidae"	"Atelinae"		"Lagothrix poeppigii"		"data deficient"		"This study"	"This study, same specimens as ECV measurements"	99.23			1	0		9072			1	0	
209	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Callitrichinae"	"Subgenus Callithrix"	"Callithrix aurita"		"data deficient"		"This study"	"Smith and Jungers 1997"	7.20			2	0				429			
210	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Callitrichinae"	"Subgenus Mico"	"Callithrix humeralifera"		"data deficient"		"This study"	"Smith and Jungers 1997"		8.20		0	1		360	380	370	4	5	9
211	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Callitrichinae"		"Leontopithecus chrysomelas"		"data deficient"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	11.82	11.86	11.84	2	1	3	610	700	655	1	1	2
212	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Callitrichinae"	"Saguinus mystax group"	"Saguinus labiatus"		"data deficient"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	10.89	9.13	10.01	1	1	2	520	520	520	1	1	2
213	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Callitrichinae"	"Saguinus mystax group"	"Saguinus pileatus"		"data deficient"	"m/f"	"This study"	"Smith and Jungers 1997"	9.78	9.33	9.56	3	1	4	510	539	525	191	133	324
214	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Saimiriinae"	"Saimiri boliviensis group"	"Saimiri boliviensis"		"data deficient"		"This study"	"Gordon 2006"	25.64			2	0		1020	750	885	14	13	27
215	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Pitheciidae"	"Callicebinae"	"Callicebus cupreus group"	"Callicebus cupreus"		"data deficient"	"m/f"	"This study"	"Smith and Jungers 1997"	19.25	16.00	17.63	2	1	3	1020	1120	1070	10	2	12
216	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Pitheciidae"	"Callicebinae"	"Subgenus Torquatus"	"Callicebus regulus"		"data deficient"		"This study"			23.00		0	1							
217	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Pitheciidae"	"Callicebinae"	"Subgenus Torquatus"	"Callicebus torquatus"		"data deficient"		"This study"	"Smith and Jungers 1997"		19.84		0	1		1280	1210	1245	15	21	36
218	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Pitheciidae"	"Pitheciinae"		"Pithecia irrorata"		"data deficient"		"This study"		39.50			1	0	0						
219	"Primates"	"Haplorrhini"	"Tarsiiformes"			"Tarsiidae"		"Tarsius spectrum group"	"Tarsius dentatus"		"data deficient"	"ind"	"This study"	"Merker and Groves 2006"		3.00	3.00	0	2	2			113			
220	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Cheirogaleoidea"	"Cheirogaleidae"		"Cheirogaleus medius group"	"Cheirogaleus adipicaudatus"		"data deficient"	"ind"	"This study"		2.60	3.47	3.04	1	1	2						
221	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Cheirogaleoidea"	"Cheirogaleidae"			"Cheirogaleus sibreei"		"data deficient"	"ind"	"This study"		4.40		4.40	1	0	1						
222	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Cheirogaleoidea"	"Cheirogaleidae"			"Phaner electromontis"		"data deficient"	"ind"	"This study"			7.20	7.20	0	1	1						
223	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Indriidae"			"Avahi occidentalis"		"data deficient"	"ind"	"This study"	"Thalmann and Geissmann 2000"	8.00		7.95	1	0	2	836	767	801	10	4	14
224	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Indriidae"		"Propithecus verreauxi group"	"Propithecus coquereli"		"data deficient"	"ind"	"This study"	"Smith and Jungers 1997 (male), Kappeler 1997 (female)"			30.19			1	3700	3757	3729	10	10	20
225	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lemuridae"		"Eulemur fulvus group"	"Eulemur albifrons"		"data deficient"	"ind"	"This study"	"Kappeler 1991 (captive)"	21.45		21.45	1	0	1	2390	2281	2336	13	11	24
226	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lemuridae"		"Eulemur fulvus group"	"Eulemur albocollaris"		"data deficient"	"ind"	"This study"	"Gordon 2006"	22.10		22.10	1	0	1	2150	2130	2140	22	14	36
227	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lemuridae"			"Hapalemur alaotrensis"		"data deficient"	"ind"	"This study"	"Mutschler 2000"	13.80		13.80	1	0	1	1228	1251	1240	31	27	58
228	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lemuridae"			"Hapalemur occidentalis"		"data deficient"	"ind"	"This study"			14.20	14.20	0	1	1						
229	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lemuridae"			"Prolemur simus"		"data deficient"	"ind"	"This study"	"Smith and Jungers 1997 (body mass of 1 female 1300 g seems too low)"			27.14			3	2150		2150	2	0	2
230	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lemuridae"			"Varecia rubra"		"data deficient"	"ind"	"This study"	"Vasey 2003"		31.08	31.08	0	3	3	3600	3340	3470			
231	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lepilemuridae"			"Lepilemur dorsalis"		"data deficient"	"ind"	"This study"	"Andriaholinirina et al. 2006"		6.70	6.70	0	1	1	817	923	870			
232	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lepilemuridae"			"Lepilemur edwardsi"		"data deficient"	"ind"	"This study"	"Rasoloharijaona et al. 2003"	6.50	8.00	7.25	1	1	2	928	934	931	10	10	20
233	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lepilemuridae"			"Lepilemur microdon"		"data deficient"	"ind"	"This study"	"Smith and Jungers 1997"	9.70	9.80	9.75	1	1	2	970		970	1		1
234	"Primates"	"Strepsirrhini"	"Lemuriformes"		"Lemuroidea"	"Lepilemuridae"			"Lepilemur ruficaudatus"		"data deficient"	"ind"	"This study"	"Andriaholinirina et al. 2006"	8.50	7.00	8.25	1	1	2	806	803	805	21	23	44
235	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"		"Galago demidoff group"	"Galago thomasi"		"data deficient"	"ind"	"This study"	"Smith and Jungers 1997"	3.24		3.12	1	0	2	103	130	117	2	1	3
236	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"		"Galago matschiei group"	"Galago matschiei"		"data deficient"	"ind"	"This study"	"Smith and Jungers 1997"	4.72	4.43	4.62	2	1	3	207	212	210	2	4	6
237	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"		"Galago orinus group"	"Galago orinus"		"data deficient"	"ind"	"This study"		2.64		2.64	1	0	1						
238	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"		"Galago zanzibaricus group"	"Galago granti"		"data deficient"	"ind"	"This study"		4.07		4.07	1	0	1						
239	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"			"Otolemur monteiri"		"data deficient"	"ind"	"This study"	"Kappeler 1991 (captive)"		11.40	11.40	0	1	1	1515	1122	1319	21	22	43
240	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus cephus group"	"Cercopithecus petaurista"	"buettikoferi"	"subspecies"	"m/f"	"This study"	"Smith and Jungers 1997 (C.p. buettikoferi)"	58.59	52.49	55.54	14	15	29	4400	2900	3650	13	7	20
241	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus cephus group"	"Cercopithecus petaurista"	"petaurista"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	55.70	52.15	53.93	3	5	8	3933	2780	3357	3	5	8
242	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus mitis group"	"Cercopithecus albogularis"	"erythrarchus"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	79.31	71.19	75.25	2	5	7	9922	5579	7751	2	5	7
243	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus mitis group"	"Cercopithecus albogularis"	"kibonotensis"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	68.67	59.66	64.17	4	2	6	6996	3992	5494	4	2	6
244	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus mitis group"	"Cercopithecus albogularis"	"kolbi"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	74.21	68.66	71.43	9	7	16	6316	4002	5159	9	6	15
245	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Chlorocebus pygerythrus"	"hilgerti"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	66.99	60.38	63.69	7	5	12	5429	3653	4541	7	5	12
246	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Chlorocebus pygerythrus"	"nesiotes"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	57.85	52.96	55.40	5	5	10	3507	2100	2804	5	5	10
247	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Chlorocebus pygerythrus"	"pygerythrus"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	67.95	61.33	64.64	14	17	31	5496	3860	4678	14	16	30
248	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Chlorocebus pygerythrus"	"rufoviridis"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	65.61	58.19	61.90	4	4	8	4913	4187	4550	4	4	8
249	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Lophocebus albigena"	"johnstoni"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	97.77	86.65	92.21	9	7	16	7204	5976	6590	7	4	11
250	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca fascicularis group"	"Macaca fascicularis"	"aurea"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	74.80	72.20	73.50	2	3	5	3969	4649	4309	2	3	5
251	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca fascicularis group"	"Macaca fascicularis"	"fascicularis"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	64.29	59.84	62.06	45	27	72	4682	3218	3950	44	23	67
252	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca fascicularis group"	"Macaca fascicularis"	"fusca"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	69.04	62.51	65.77	7	4	11	6010	4026	5018	7	4	11
253	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca fascicularis group"	"Macaca fascicularis"	"umbrosa"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	72.16	66.90	69.53	2	2	4	7938	3629	5783	2	2	4
254	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca mulatta group"	"Macaca mulatta"	"mulatta"	"subspecies"	"m/f"	"This study"	"Smith and Jungers 1997"	87.11	79.25	83.18	8	6	14	7710	5370	6540	8	9	17
255	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Macaca mulatta group"	"Macaca mulatta"	"villosa"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	98.75	88.25	93.50	5	2	7	9435	6237	7836	5	2	7
257	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Colobus guereza"	"kikuyuensis"	"subspecies"	"m/f"	"This study"	"Smith and Jungers 1997 (C.g. guereza)"	86.27	79.64	82.95	4	3	6	13500	9200	11350	3	4	7
258	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Colobus guereza"	"matschiei"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	78.76	70.12	74.44	11	9	20	9840	7276	8558	11	9	20
259	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Colobus guereza"	"occidentalis"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	77.91	66.36	72.14	3	5	8	8655	7920	8287	3	5	8
260	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Piliocolobus badius"	"badius"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	64.96	64.01	64.49	15	18	33	8333	7366	7850	3	7	10
261	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"		"Piliocolobus badius"	"waldroni"	"subspecies"		"This study"	"This study, same specimens as ECV measurements"	61.01	55.41		1	5		6300	5500	5900	1	1	2
262	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis femoralis"	"percura"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	76.44	69.72	73.08	2	4	6	7257	6889	7073	2	4	6
263	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis femoralis"	"robinsoni"	"subspecies"		"This study"	"This study, same specimens as ECV measurements"	82.47	72.27		4	1		7286	6464	6875	4	1	5
264	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis melalophos"	"melalophos"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	71.49	61.43	66.46	7	3	10	6464	6123	6293	7	3	10
265	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis melalophos"	"sumatrana"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	68.16	58.37	63.26	3	8	11	6766	6733	6749	3	8	11
266	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis siamensis"	"cana"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	66.98	59.12	63.05	3	5	8	6086	6554	6320	3	5	8
267	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis melalophos group"	"Presbytis siamensis"	"rhionis"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	62.42	52.34	57.38	3	2	5	4687	5897	5292	3	2	5
268	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis rubicunda group"	"Presbytis rubicunda"	"carimatae"	"subspecies"		"This study"	"This study, same specimens as ECV measurements"	72.26	70.37		1	4		7031	7031	7031	1	4	5
269	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Colobinae"	"Presbytis rubicunda group"	"Presbytis rubicunda"	"rubicunda"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	74.43	67.08	70.75	27	18	45	6283	6042	6162	27	18	45
270	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Hylobatidae"			"Hylobates lar"	"carpenteri"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	103.48	100.27	101.87	96	86	182	5729	5296	5513	44	37	81
271	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Hylobatidae"			"Hylobates lar"	"entelloides"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	103.41	103.24	103.32	15	7	22	6413	6426	6420	9	3	12
272	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Pongidae"			"Pan troglodytes"	"schweinfurthii"	"subspecies"	"m/f"	"This study"	"Smith and Jungers 1997"	451.00	329.66	390.33	2	2	4	42700	33700	38200	21	26	47
273	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Pongidae"			"Pan troglodytes"	"troglodytes"	"subspecies"	"m/f"	"This study"	"Smith and Jungers 1997"	378.86	347.25	363.05	38	41	79	59700	45800	52750	5	4	9
274	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Pongidae"			"Pan troglodytes"	"verus"	"subspecies"	"m/f"	"This study"	"Smith and Jungers 1997"	389.91	353.57	371.74	7	11	18	46300	41600	43950	1	3	4
