Species	Body_weight	Brain_weight_g	Neonate_brain_weight_g	Neocortex_mm^3	GI	Ventricle_mm^3	Maximum_lifespan_yrs	Age_at_first_breeding_F_mnths	Age_at_first_breeding_days	Female_sexual_maturity_days	Male_sexual_maturity_days	Gestation_days	Litter_size	Litters_per_year	Inter-litter_interval_days	Weaning_period_days	Weight_at_birth_g	Weight_at_weaning_g	Juvenility_primates_years	Juvenility_days	Max_home_range_ha	% Fruit and seeds	Activity_timing	Diet_breadth	Trophic_level	Population_group_size	Social_group_size	Adult_head_body_length_mm	Age_at_eye_opening_days	Altricial_precocial	Basal_metaboic_rate	Dispersal_age_days	Habitat_breadth	Social_system	Glia_neuron_ratio	Neuronal_denisty	Glial_cell_denisty	Neurogenic_period_days	Phylo_rank
Lagothrix_lagothricha	5959,00	95,58	NA	65873,00	1,97	1090,00	30,00	75,50	2296,46	2555	1520	224	1,00	0,50	288	391	393,00	NA	3,53	1905,12	400,00	79,00	3	4	2	NA	33,00	536,39	NA	2	NA	NA	1	3	NA	NA	NA	NA	26
Callicebus_moloch*	980,00	19,00	NA	NA	1,25	NA	24,60	36,00	1095,00	1263	1263	164	1,01	NA	365	60	74,40	1262,74	NA	1035,00	30,00	NA	3	3	2	NA	2,95	358,65	NA	2	NA	NA	1	2	0,27	467735,00	125893,00	NA	27
Aotus_trivirgatus	783,60	17,40	10,10	9950,00	1,31	105,00	25,25	28,57	868,90	821	730	138	1,00	1,40	269	110	91,25	360,00	1,81	758,57	8,50	45,50	1	3	2	NA	3,15	357,99	NA	2	459,45	NA	1	2	0,12	410950,00	59930,00	NA	28
Callimico_goeldii	492,20	10,95	5,80	6476,00	1,26	47,90	17,90	15,73	478,56	310	395	153	1,00	1,20	207	69	49,51	167,50	0,70	409,31	45,00	NA	3	2	2	NA	6,85	280,00	NA	2	NA	NA	1	4	NA	NA	NA	NA	29
Callithrix_jacchus	288,12	7,61	3,63	4371,00	1,17	52,00	16,75	18,25	555,10	421	382	146	2,31	2,00	163	70	27,93	107,78	0,85	484,70	6,50	22,00	3	5	2	NA	8,55	NA	NA	2	152,00	NA	1	2	NA	NA	NA	58	30
Saguinus_midas	439,20	10,50	NA	5883,00	1,20	251,00	13,30	24,00	730,00	608	NA	140	2,00	1,40	240	70	38,00	NA	NA	659,50	9,00	69,00	3	4	2	NA	5,55	264,21	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	31
Saguinus_oedipus	368,83	9,80	NA	5894,00	1,20	NA	23,08	22,80	693,50	548	550	162	1,90	1,00	262	52	41,28	105,00	NA	641,50	32,00	NA	3	4	2	NA	7,05	239,99	NA	2	NA	NA	1	2	0,30	328541,00	102329,00	NA	32
Cebus_albifrons	2482,80	71,23	33,65	NA	1,69	NA	44,00	48,10	1463,04	1310	1310	158	1,00	0,70	546	271	230,85	917,69	2,85	1192,44	15,00	24,60	3	5	2	NA	25,00	384,28	NA	2	NA	NA	2	3	NA	NA	NA	NA	33
Saimiri_sciureus	680,60	22,98	15,24	15541,00	1,55	299,00	27,00	30,00	912,50	1003	1826	168	1,00	1,00	351	176	138,60	410,50	NA	736,50	157,00	28,00	3	3	2	NA	36,09	322,00	NA	2	738,81	NA	1	3	0,25	478630,00	117490,00	NA	34
Tarsius_bancanus	115,88	3,00	2,09	NA	1,08	NA	12,00	30,24	919,80	920	NA	178	1,00	1,50	270	80	28,50	NA	NA	839,80	2,00	NA	1	3	2	NA	1,00	106,59	NA	2	NA	NA	1	NA	0,26	234510,00	60256,00	NA	35
Tarsius_syrichta	112,05	3,83	NA	NA	1,10	NA	30,00	30,20	918,58	NA	NA	179	1,00	NA	240	81	24,92	NA	1,82	837,25	1,30	NA	1	1	1	NA	1,00	117,74	NA	2	76,70	NA	1	NA	0,25	200103,00	50425,00	NA	36
Microcebus_murinus	71,83	1,85	NA	740,00	1,10	11,30	15,50	14,83	451,18	243	243	61	2,00	1,00	250	39	5,52	NA	0,73	412,18	2,00	51,00	1	5	2	3,50	1,00	143,61	NA	2	84,07	NA	1	1	0,59	190546,00	112202,00	NA	37
Cheirogaleus_major	433,25	6,43	NA	2938,00	1,15	83,40	15,00	NA	NA	365	365	70	2,50	1,00	365	45	14,09	NA	NA	NA	4,20	NA	1	5	2	1,00	1,00	225,00	NA	2	NA	NA	1	1	NA	NA	NA	NA	38
Cheirogaleus_medius	214,00	3,01	NA	1221,00	1,11	24,60	19,25	14,33	435,97	365	730	62	2,25	1,00	365	62	19,00	NA	0,86	374,47	4,00	NA	1	5	2	1,00	1,00	225,00	NA	2	148,10	NA	1	1	0,59	186209,00	109648,00	NA	39
Avahi_laniger	1200,14	10,65	NA	4813,00	1,26	172,00	NA	30,90	939,88	NA	NA	135	1,00	NA	365	165	29,00	500,00	NA	774,88	1,50	NA	1	3	1	NA	2,00	275,00	NA	2	NA	NA	2	2	NA	NA	NA	NA	40
Avahi_occidentalis	832,33	9,68	NA	4443,00	1,14	73,70	NA	NA	NA	NA	NA	135	1,00	NA	NA	NA	NA	NA	NA	NA	1,50	NA	2	1	1	NA	3,00	NA	NA	2	NA	NA	1	2	NA	NA	NA	NA	41
Propithecus_verreauxi	3547,12	26,90	NA	13170,00	1,34	231,00	20,60	43,47	1322,11	912	912	147	1,00	1,00	448	173	94,15	1000,00	2,62	1148,86	8,50	41,00	3	3	1	7,50	6,30	472,49	NA	2	670,00	NA	1	3	NA	NA	NA	NA	42
Indri_indri	7410,83	37,35	NA	20114,00	1,46	330,00	34,50	84,00	2555,00	2008	2008	160	1,00	0,42	906	364	300,00	NA	NA	2190,67	18,00	43,00	3	4	1	3,50	3,10	734,99	NA	2	NA	NA	1	NA	NA	NA	NA	NA	43
Daubentonia_madagascariensis	2640,28	44,89	NA	22127,00	1,25	392,00	24,25	35,50	1079,79	882	NA	164	1,00	1,00	756	244	119,33	1535,00	2,04	835,79	11,00	0,00	1	6	2	1,00	1,00	400,00	NA	2	1393,90	NA	2	NA	NA	NA	NA	NA	44
Eulemur_fulvus	1933,80	28,10	10,69	12207,00	1,46	194,00	36,00	29,88	908,70	548	548	120	1,00	NA	730	159	75,70	1350,00	1,46	749,70	8,75	NA	2	4	2	9,25	9,15	469,62	NA	2	NA	NA	1	3	NA	NA	NA	NA	45
Eulemur_mongoz	1632,75	20,75	NA	NA	1,33	NA	30,00	30,10	915,54	550	550	128	1,05	1,00	NA	152	58,40	60,00	1,75	763,54	70,00	65,00	2	4	2	4,00	2,70	354,85	NA	2	940,00	NA	1	NA	0,59	234423,00	138038,00	NA	46
